"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 15 11:40:30 GMT 2023","Tue Aug 15 11:40:53 GMT 2023","23038","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testNextButtonInSideView_ImagePage","testNextButtonInSideView_ImagePage",""
"skipped","Tue Aug 15 11:45:49 GMT 2023","Tue Aug 15 11:45:49 GMT 2023","0","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testChangeLanguageInFavorite_ImagePage","testChangeLanguageInFavorite_ImagePage",""
"broken","Tue Aug 15 11:38:53 GMT 2023","Tue Aug 15 11:39:17 GMT 2023","23508","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testCloseButtonInSideView_ImagePage","testCloseButtonInSideView_ImagePage",""
"broken","Tue Aug 15 11:42:30 GMT 2023","Tue Aug 15 11:42:53 GMT 2023","22917","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testRelatedSearch_ImagePage","testRelatedSearch_ImagePage",""
"skipped","Tue Aug 15 11:45:49 GMT 2023","Tue Aug 15 11:45:49 GMT 2023","0","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testDeleteImageFromFavorite_ImagePage_ImagePage","testDeleteImageFromFavorite_ImagePage_ImagePage",""
"broken","Tue Aug 15 11:41:42 GMT 2023","Tue Aug 15 11:42:05 GMT 2023","22844","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testPrevButtonInSideView_ImagePage","testPrevButtonInSideView_ImagePage",""
"broken","Tue Aug 15 11:39:18 GMT 2023","Tue Aug 15 11:39:41 GMT 2023","23041","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testFilterSearch_ImagePage","testFilterSearch_ImagePage",""
"skipped","Tue Aug 15 11:45:49 GMT 2023","Tue Aug 15 11:45:49 GMT 2023","0","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testAddedImageEqualImageInFavorite_ImagePage","testAddedImageEqualImageInFavorite_ImagePage",""
"broken","Tue Aug 15 11:40:05 GMT 2023","Tue Aug 15 11:40:30 GMT 2023","24163","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testNextButtonAndPrevButtonOfAdvertising_ImagePage","testNextButtonAndPrevButtonOfAdvertising_ImagePage",""
"broken","Tue Aug 15 11:42:06 GMT 2023","Tue Aug 15 11:42:29 GMT 2023","23071","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testRegionalSearch_ImagePage","testRegionalSearch_ImagePage",""
"broken","Tue Aug 15 11:43:17 GMT 2023","Tue Aug 15 11:43:40 GMT 2023","23301","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testSelectAnyQueryFromRelatedSearch_ImagePage","testSelectAnyQueryFromRelatedSearch_ImagePage",""
"broken","Tue Aug 15 11:43:41 GMT 2023","Tue Aug 15 11:44:04 GMT 2023","23014","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testSuggestEqualsSearchCriteria_ImageSearch","testSuggestEqualsSearchCriteria_ImageSearch",""
"broken","Tue Aug 15 11:45:23 GMT 2023","Tue Aug 15 11:45:48 GMT 2023","25331","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testAddImageInFavorite_ImagePage","testAddImageInFavorite_ImagePage",""
"broken","Tue Aug 15 11:44:05 GMT 2023","Tue Aug 15 11:44:28 GMT 2023","23108","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testImageResultsEqualsSearchCriteria","testImageResultsEqualsSearchCriteria",""
"skipped","Tue Aug 15 11:45:49 GMT 2023","Tue Aug 15 11:45:49 GMT 2023","0","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testDeletedSeveralImagesFromFavorite_ImagePage","testDeletedSeveralImagesFromFavorite_ImagePage",""
"broken","Tue Aug 15 11:39:42 GMT 2023","Tue Aug 15 11:40:05 GMT 2023","23027","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testImageInResultEqualsImageInSideView_ImagePage","testImageInResultEqualsImageInSideView_ImagePage",""
"skipped","Tue Aug 15 11:45:49 GMT 2023","Tue Aug 15 11:45:49 GMT 2023","0","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testAddSeveralImagesToFavorite_ImagePage","testAddSeveralImagesToFavorite_ImagePage",""
"broken","Tue Aug 15 11:42:53 GMT 2023","Tue Aug 15 11:43:16 GMT 2023","22912","Parallel Test Suite","Search pages test","tests.header.ImageTest","tests.header.ImageTest","testScrollToNextPage_ImagePage","testScrollToNextPage_ImagePage",""
